,CAND_ID,VOTECOUNT,VOTESHARE,WIN_LOSS
370,H2TX36134,29543.0,22.07,0
371,H2UT01094,84231.0,64.78,1
372,H2UT01235,36422.0,28.01,0
373,H2UT02324,88915.0,60.82,1
374,H2UT03140,3328.0,2.28,0
375,H2UT04023,74936.0,50.92,1
376,H2UT04056,1351.0,0.92,0
377,H2VA04052 ,120684.0,60.15,1
378,H2VA05059,2209.0,1.08,0
379,H2VA06115,133898.0,74.51,1
380,H2VA11164,1739.0,0.93,0
381,H2VI00082,21224.0,90.65,1
382,H2VT00110,59432.0,31.03,0
383,H2WA06129,141265.0,62.98,1
384,H2WI01084,105552.0,36.63,0
385,H2WI01092,29.0,0.01,0
386,H2WI02124,224920.0,68.4,1
387,H2WV01037,52109.0,36.0,0
388,H2WY00125,7112.0,4.31,0
389,H2WY00133,6749.0,4.09,0
390,H4AK00123,114602.0,40.97,0
391,H4AL01123,103758.0,68.16,1
392,H4AL01156,48278.0,31.71,0
393,H4AL02071,54692.0,32.56,0
394,H4AL03061,52816.0,33.72,0
395,H4AL05082,39005.0,25.17,0
396,H4AL05130,26606.0,11.11,0
397,H4AL06098,135945.0,76.18,1
398,H4AL06148,42291.0,23.7,0
399,H4AR01051 ,63555.0,32.38,0
400,H4AR01069,8562.0,4.36,0
401,H4AR02133 ,103477.0,43.6,0
402,H4AR02141 ,123073.0,51.86,1
403,H4AR02174 ,10590.0,4.46,0
404,H4AR02182 ,190.0,0.08,0
405,H4AR03057,39305.0,20.59,0
406,H4AR04030 ,2.0,0.0,0
407,H4AR04048 ,110789.0,53.75,1
408,H4AR04063 ,87742.0,42.57,0
409,H4AR04071,7598.0,3.69,0
410,H4AS00036,4306.0,42.03,1
411,H4AS00069,652.0,6.36,0
412,H4AS00077,143.0,1.4,0
413,H4AS00085,1130.0,11.03,0
414,H4AS00093,229.0,2.24,0
415,H4AZ01038 ,124867.0,69.58,1
416,H4AZ02119,5612.0,3.46,0
417,H4AZ02150,56.0,0.03,0
418,H4AZ02168,48.0,0.02,0
419,H4AZ03075,43.0,0.04,0
420,H4AZ03083 ,8.0,0.01,0
421,H4AZ04024,128710.0,75.81,1
422,H4AZ04099,7440.0,4.25,0
423,H4AZ05088,54596.0,30.42,0
424,H4AZ06045,129578.0,64.86,1
425,H4AZ07043 ,54235.0,74.85,1
426,H4AZ07100,4.0,0.01,0
427,H4AZ07118,17.0,0.02,0
428,H4AZ07126,129.0,0.18,0
429,H4CA01066,84320.0,38.97,0
430,H4CA02098,54400.0,25.01,0
431,H4CA03096,71036.0,47.28,0
432,H4CA04102,84350.0,39.95,0
433,H4CA05257,41535.0,24.27,0
434,H4CA10075,55123.0,43.85,0
435,H4CA11081,63475.0,52.37,1
436,H4CA11107,57160.0,32.73,0
437,H4CA12055,64847.0,48.25,0
438,H4CA13087,21940.0,11.52,0
439,H4CA15066,43150.0,30.19,0
440,H4CA16049,85888.0,67.21,1
441,H4CA17021,106034.0,75.18,1
442,H4CA18060,34757.0,23.3,0
443,H4CA18094,63326.0,32.25,0
444,H4CA20082,46277.0,50.73,1
445,H4CA21072,33470.0,42.17,0
446,H4CA22104,37289.0,27.96,0
447,H4CA23011,69681.0,70.96,1
448,H4CA23151,33726.0,25.16,0
449,H4CA25123,60847.0,53.34,1
450,H4CA26147,82653.0,48.67,0
451,H4CA28077,28268.0,23.5,0
452,H4CA29133,17045.0,25.39,0
453,H4CA31071,48162.0,48.27,0
454,H4CA32103,34053.0,40.34,0
455,H4CA33119,108331.0,59.19,1
456,H4CA33135,74700.0,40.81,0
457,H4CA34075,16924.0,27.46,0
458,H4CA35031,39502.0,63.45,1
459,H4CA35049,22753.0,36.55,0
460,H4CA36120,61457.0,45.82,0
461,H4CA37078,18051.0,15.72,0
462,H4CA39041,41906.0,31.46,0
463,H4CA41120,35936.0,43.36,0
464,H4CA42086,38850.0,34.26,0
465,H4CA43084,28521.0,29.04,0
466,H4CA44165,9192.0,13.35,0
467,H4CA45097,106083.0,65.12,1
468,H4CA46129,33577.0,40.3,0
469,H4CA47069,54309.0,44.01,0
470,H4CA48042,62713.0,35.88,0
471,H4CA49099,64981.0,39.83,0
472,H4CA49107,56819.0,34.88,0
473,H4CA51079,25577.0,31.21,0
474,H4CA52051,92746.0,48.41,0
475,H4CA53059,60940.0,41.16,0
476,H4CO00023,100364.0,35.7,0
477,H4CO01112,80682.0,28.97,0
478,H4CO01138,1.0,0.0,0
479,H4CO01146,2.0,0.0,0
480,H4CO02094,149645.0,43.26,0
481,H4CO03274,6472.0,2.3,0
482,H4CO04074,83727.0,29.22,0
483,H4CO04082,8016.0,2.8,0
484,H4CO04090,185292.0,64.67,1
485,H4CO04140,9472.0,3.31,0
486,H4CO05055,105673.0,40.2,0
487,H4CO06087,118847.0,42.99,0
488,H4CO07036,120918.0,44.93,0
489,H4CT01060,3447.0,1.58,0
490,H4CT02068,80837.0,35.46,0
491,H4CT02084,2549.0,1.12,0
492,H4CT03082,69454.0,33.08,0
493,H4DC00076,9101.0,5.29,0
494,H4DC00092,11673.0,6.79,0
495,H4FL01155 ,15281.0,6.49,0
496,H4FL02062,126096.0,50.48,1
497,H4FL02070 ,422.0,0.17,0
498,H4FL03102 ,6208.0,2.71,0
499,H4FL03110 ,73910.0,32.3,0
500,H4FL04043 ,35663.0,15.69,0
501,H4FL05065,59237.0,34.53,0
502,H4FL06022,99563.0,37.46,0
503,H4FL07087 ,73011.0,32.14,0
504,H4FL08085 ,93724.0,34.14,0
505,H4FL08093,61.0,0.02,0
506,H4FL09083 ,74963.0,43.11,0
507,H4FL09091,89426.0,38.45,0
508,H4FL09133,5060.0,2.91,0
509,H4FL09141 ,5.0,0.0,0
510,H4FL10115,20.0,0.01,0
511,H4FL11071,90786.0,33.34,0
512,H4FL13077,55318.0,24.74,0
513,H4FL13101,168172.0,75.22,1
514,H4FL13150 ,86.0,0.04,0
515,H4FL15155 ,84832.0,39.72,0
516,H4FL16146 ,105483.0,38.38,0
517,H4FL16153,220.0,0.08,0
518,H4FL18068 ,101896.0,40.22,0
519,H4FL19058,80824.0,32.74,0
520,H4FL19074 ,159354.0,64.55,1
521,H4FL19082,12.0,0.0,0
522,H4FL20023,103269.0,62.67,1
523,H4FL20064,28968.0,18.4,0
524,H4FL22102 ,7.0,0.0,0
525,H4FL22110 ,90685.0,41.97,0
526,H4FL24025,5487.0,3.66,0
527,H4FL26038 ,83031.0,51.46,1
528,H4GA01039,95337.0,60.91,1
529,H4GA01120,61175.0,39.09,0
530,H4GA02060,66537.0,40.85,0
531,H4GA04058,109.0,0.07,0
532,H4GA04124,60112.0,34.61,0
533,H4GA06087,139018.0,66.04,1
534,H4GA08067,156277.0,100.0,1
535,H4GA09057,34988.0,19.33,0
536,H4GA10089,65777.0,33.48,0
537,H4GA11061,161532.0,100.0,1
538,H4GA12010,75478.0,45.25,0
539,H4GU00021,14956.0,41.82,0
540,H4HI01134,93390.0,51.93,1
541,H4HI02116,4693.0,2.6,0
542,H4IA01069 ,141145.0,48.79,0
543,H4IA03065 ,119109.0,42.23,0
544,H4IA03115 ,148814.0,52.76,1
545,H4IA03131,9054.0,3.21,0
546,H4IA03149,4360.0,1.55,0
547,H4IA04113 ,105504.0,38.28,0
548,H4ID01081 ,77277.0,34.99,0
549,H4IL00032 ,63810.0,29.38,0
550,H4IL02301,43799.0,21.44,0
551,H4IL02343 ,160337.0,78.49,1
552,H4IL03077,116764.0,64.56,1
553,H4IL03093,64091.0,35.44,0
554,H4IL06104 ,78465.0,32.86,0
555,H4IL07037,155110.0,85.1,1
556,H4IL07151,27168.0,14.9,0
557,H4IL08126,66878.0,44.27,0
558,H4IL11195 ,81335.0,46.54,0
559,H4IL12060,110038.0,52.46,1
560,H4IL13175,86935.0,41.34,0
561,H4IL15071 ,55652.0,25.08,0
562,H4IL17077,16.0,0.01,0
563,H4IL18117,62377.0,25.28,0
564,H4IN01012 ,86579.0,60.85,1
565,H4IN01152,4714.0,3.31,0
566,H4IN02135 ,55590.0,38.29,0
567,H4IN02168,4027.0,2.77,0
568,H4IN04172,47056.0,33.13,0
569,H4IN05120 ,49756.0,30.82,0
570,H4IN05153,6407.0,3.97,0
571,H4IN06110,7375.0,4.76,0
572,H4IN07183,3931.0,3.5,0
573,H4IN08207 ,61384.0,35.83,0
574,H4IN09072,55016.0,33.88,0
575,H4IN09130,5777.0,3.56,0
576,H4KS01075,65397.0,32.03,0
577,H4KS02115,87153.0,38.62,0
578,H4KS02123,9791.0,4.34,0
579,H4KS03188,89584.0,39.98,0
580,H4KS04111,69396.0,33.34,0
581,H4KY01016,63596.0,26.88,0
582,H4KY01040,173022.0,73.12,1
583,H4KY02089,69898.0,30.81,0
584,H4KY03210,87981.0,35.57,0
585,H4KY03244,2318.0,0.94,0
586,H4KY06130,98290.0,40.01,0
587,H4LA01139,8707.0,3.57,0
588,H4LA01147 ,21286.0,8.72,0
589,H4LA02087,15237.0,6.88,0
590,H4LA02103 ,16327.0,7.37,0
591,H4LA03119,28342.0,12.0,0
592,H4LA05080 ,67611.0,28.22,0
593,H4LA05098,1655.0,0.69,0
594,H4LA05171,4037.0,1.56,0
595,H4LA05213,4594.0,1.92,0
596,H4LA05221,55489.0,23.16,0
597,H4LA05239,9890.0,4.13,0
598,H4LA05247,53628.0,22.39,0
599,H4LA05262,2201.0,0.92,0
600,H4LA06047,3561.0,1.38,0
601,H4LA06062,7309.0,2.83,0
602,H4LA06088,35024.0,13.55,0
603,H4LA06112,26524.0,10.26,0
604,H4LA06120,1447.0,0.56,0
605,H4LA06138,1848.0,0.71,0
606,H4LA06146,5815.0,2.25,0
607,H4LA06153,70715.0,27.36,0
608,H4LA06161,77866.0,30.12,0
609,H4LA06179,19151.0,7.41,0
610,H4LA07029,185867.0,78.67,1
611,H4MA03022,169640.0,98.2,1
612,H4MA03097,81638.0,36.95,0
613,H4MA05084,182100.0,98.29,1
614,H4MA05167,1.0,0.0,0
615,H4MA06090,149638.0,54.97,1
616,H4MA06124 ,10373.0,3.81,0
617,H4MA09078,114971.0,44.99,0
618,H4MD01101,73843.0,29.49,0
619,H4MD02166,5326.0,2.71,0
620,H4MD02174,70411.0,35.86,0
621,H4MD03123 ,87029.0,40.3,0
622,H4MD04121,54217.0,28.26,0
623,H4MD05169,80752.0,35.72,0
624,H4MD05177,227.0,0.1,0
625,H4MD06191,91930.0,48.25,0
626,H4MD07074,55860.0,27.01,0
627,H4MD08205,102.0,0.05,0
628,H4ME00014,27410.0,8.87,0
629,H4ME01137,94751.0,30.67,0
630,H4ME02200 ,118556.0,41.83,0
631,H4ME02234,133308.0,47.03,1
632,H4MI01114,113263.0,45.28,0
633,H4MI01148,3823.0,1.53,0
634,H4MI02104 ,70851.0,33.25,0
635,H4MI02112 ,3877.0,1.82,0
636,H4MI03227 ,84720.0,39.01,0
637,H4MI03235 ,6691.0,3.08,0
638,H4MI04126,123962.0,56.49,1
639,H4MI04134,85777.0,39.09,0
640,H4MI04142,4990.0,2.27,0
641,H4MI05123 ,69222.0,31.16,0
642,H4MI05149,102269.0,42.06,0
643,H4MI05156,4734.0,2.13,0
644,H4MI06105,84391.0,40.38,0
645,H4MI06121,5530.0,2.65,0
646,H4MI06139,2254.0,1.08,0
647,H4MI07103,119564.0,53.45,1
648,H4MI07178,92083.0,41.17,0
649,H4MI07186 ,4369.0,1.95,0
650,H4MI07202,3138.0,1.4,0
651,H4MI08093,4694.0,2.14,0
652,H4MI08101,1680.0,0.69,0
653,H4MI08135 ,132739.0,54.6,1
654,H4MI08168,4557.0,1.87,0
655,H4MI08176 ,1880.0,0.77,0
656,H4MI09075,81470.0,36.09,0
657,H4MI09083,4792.0,2.12,0
658,H4MI09091,3153.0,1.4,0
659,H4MI11097,140435.0,55.9,1
660,H4MI11105 ,101681.0,40.47,0
661,H4MI12061 ,64716.0,31.32,0
662,H4MI12079 ,134346.0,65.01,1
663,H4MI13200,27234.0,16.31,0
664,H4MI13218 ,3466.0,2.08,0
665,H4MI13226,41801.0,19.67,0
666,H4MI14190,1999.0,0.94,0
667,H4MI14208,30.0,0.01,0
668,H4MN02136,12319.0,5.01,0
